feeding_phase_id,requirement_set_id,nutrient_id,requirement_min,requirement_max,unit_id,basis,source,min_strictness,max_strictness
gilt_dev,NRC2012_swine,sid_val,0.46,,pct,as_fed,NRC2012,hard,hard
gilt_dev,NRC2012_swine,ca,0.70,0.90,pct,as_fed,NRC2012,hard,hard
gilt_dev,NRC2012_swine,sttd_p,0.40,,pct,as_fed,NRC2012,hard,hard
gilt_dev,NRC2012_swine,na,0.15,0.45,pct,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,ne_swine,2400,,kcal_kg,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,sid_lys,0.55,,pct,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,sid_met,0.15,,pct,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,sid_mc,0.34,,pct,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,sid_thr,0.45,,pct,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,sid_trp,0.12,,pct,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,sid_ile,0.38,,pct,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,sid_val,0.50,,pct,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,ca,0.75,0.95,pct,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,sttd_p,0.35,,pct,as_fed,NRC2012,hard,hard
sow_gest,NRC2012_swine,na,0.18,0.45,pct,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,ne_swine,2500,,kcal_kg,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,sid_lys,0.85,,pct,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,sid_met,0.23,,pct,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,sid_mc,0.46,,pct,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,sid_thr,0.57,,pct,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,sid_trp,0.17,,pct,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,sid_ile,0.50,,pct,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,sid_val,0.69,,pct,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,ca,0.80,1.00,pct,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,sttd_p,0.40,,pct,as_fed,NRC2012,hard,hard
sow_lact,NRC2012_swine,na,0.20,0.45,pct,as_fed,NRC2012,hard,hard
